X , Y, Z, Vx, Vy, Vz, AirSpeed
8935.91796875,-19.067028045654297,-51855.99609375,-7.088197889970616e-05,2.1271466721373145e-06,-1.9646893179015024e-07,8.138617122212168e-21
8935.91796875,-19.067028045654297,-51855.99609375,-4.951135633746162e-05,1.163403908321925e-06,1.4806988701820956e-07,1.1013312088904023e-21
8935.91796875,-19.067026138305664,-51855.99609375,-3.3551143133081496e-05,1.3493071264747414e-06,6.769836602416035e-08,1.6500358692082923e-22
8935.91796875,-19.067026138305664,-51855.99609375,-3.723223926499486e-05,2.087384018523153e-06,9.393872346663557e-08,2.206854790662609e-23
8935.91796875,-19.067026138305664,-51855.99609375,-4.718079435406253e-05,2.134043143087183e-06,1.1309364822409407e-07,2.7784333864283106e-24
8935.91796875,-19.06702423095703,-51855.99609375,-4.365537461126223e-05,1.7945020545084844e-06,1.004359972966995e-07,3.6417485123020854e-25
8935.91796875,-19.06702423095703,-51855.99609375,-4.1327082726638764e-05,1.7032491541613126e-06,7.467680518402631e-08,4.8367779971437753e-26
8935.9130859375,-19.066986083984375,-51855.99609375,-0.054483018815517426,0.00044098851503804326,4.3091738916700706e-05,7.155594722772492e-27
8935.6845703125,-19.06751823425293,-51855.99609375,-0.36669009923934937,-0.0019674990326166153,0.00031278462847694755,0.201929971575737
8935.158203125,-19.070375442504883,-51855.99609375,-0.7418100237846375,-0.003576617920771241,0.0020417894702404737,0.7374116778373718
8934.068359375,-19.077180862426758,-51855.9921875,-1.4395521879196167,-0.010206567123532295,0.0041798739694058895,1.591997504234314
8932.0986328125,-19.091947555541992,-51855.984375,-2.769340753555298,-0.019771434366703033,0.00839320383965969,3.0036211013793945
8927.9169921875,-19.115095138549805,-51855.97265625,-5.583082675933838,-0.03814154118299484,0.01711810752749443,6.07080602645874
8920.486328125,-19.168498992919922,-51855.94921875,-9.351953506469727,-0.06681215763092041,0.028596222400665283,11.355029106140137
8909.775390625,-19.24391746520996,-51855.91796875,-13.279794692993164,-0.08677883446216583,0.03635939210653305,17.960756301879883
8893.849609375,-19.263198852539062,-51855.8984375,-17.612743377685547,0.08728626370429993,-0.016164680942893028,25.99586296081543
8873.5205078125,-19.20484733581543,-51855.8984375,-21.902986526489258,0.0344713069498539,-0.01179967075586319,34.24464416503906
8849.5634765625,-19.205759048461914,-51855.9375,-26.03369903564453,-0.0035169392358511686,-0.055698148906230927,42.255393981933594
8823.2998046875,-19.147884368896484,-51855.99609375,-29.869876861572266,0.10265840590000153,-0.06616652756929398,49.72561264038086
8789.5927734375,-19.115528106689453,-51856.0625,-34.12565612792969,-0.022264093160629272,-0.05117211863398552,58.00950241088867
8752.5546875,-19.102436065673828,-51856.09375,-38.22858428955078,-0.23125192523002625,0.015299173071980476,65.96700286865234
8712.28515625,-19.399066925048828,-51856.07421875,-42.23637771606445,-0.25791364908218384,-0.025125406682491302,73.71416473388672
8670.998046875,-19.46361541748047,-51856.109375,-45.90081787109375,0.1021721288561821,-0.03208928555250168,80.91132354736328
8619.859375,-19.363073348999023,-51856.09765625,-49.98766326904297,0.12515059113502502,0.012771529145538807,88.93700408935547
8571.0673828125,-19.331148147583008,-51856.15625,-53.546600341796875,0.2942178249359131,-0.11259163916110992,95.90164184570312
8512.7978515625,-19.243450164794922,-51856.23828125,-57.47600173950195,0.20500104129314423,0.0008041947148740292,103.54158020019531
8455.6728515625,-18.941478729248047,-51856.26171875,-60.98601150512695,0.6491296887397766,-0.11714938282966614,110.46430969238281
8391.32421875,-18.242752075195312,-51856.40625,-64.60442352294922,1.1591628789901733,-0.11273320019245148,117.646728515625
8325.6787109375,-17.105283737182617,-51856.4609375,-68.03221130371094,1.06721031665802,-0.09952467679977417,124.3713150024414
8254.298828125,-15.975610733032227,-51856.65234375,-71.55813598632812,0.6139841079711914,-0.2159101516008377,131.14239501953125
8184.35986328125,-15.397167205810547,-51856.8046875,-74.84123992919922,0.731712281703949,-0.068056121468544,137.36375427246094
8103.95751953125,-14.705495834350586,-51856.9921875,-78.40336608886719,0.7931925654411316,-0.3221573531627655,144.28147888183594
8027.27685546875,-14.025407791137695,-51857.3203125,-81.6204833984375,0.6878567337989807,-0.30759748816490173,150.5640106201172
7942.5107421875,-13.282626152038574,-51857.52734375,-84.98448944091797,0.6981719732284546,-0.23160475492477417,157.0936279296875
7852.37939453125,-12.651998519897461,-51857.91796875,-88.40113067626953,0.5089353322982788,-0.48004117608070374,163.6408233642578
7764.37939453125,-12.169331550598145,-51858.3671875,-91.57987976074219,0.5551316738128662,-0.34619036316871643,169.79368591308594
7669.09716796875,-11.344191551208496,-51858.6953125,-94.81294250488281,1.1229420900344849,-0.3775964677333832,176.17068481445312
7576.58740234375,-9.895261764526367,-51859.09375,-97.73101043701172,1.8785929679870605,-0.40703192353248596,182.02346801757812
7477.634765625,-7.507715702056885,-51859.3984375,-100.60853576660156,2.9882426261901855,-0.3235175907611847,187.8729248046875
7376.61767578125,-3.7170565128326416,-51859.78125,-103.23001098632812,4.7143025398254395,-0.4040413200855255,193.3706817626953
7270.41650390625,2.2538750171661377,-51860.09375,-105.59223175048828,7.117152214050293,-0.31466245651245117,198.5861053466797
7164.830078125,10.573990821838379,-51860.53515625,-107.5610122680664,9.603912353515625,-0.5214558839797974,203.19549560546875
7050.47705078125,22.0675048828125,-51860.99609375,-109.34723663330078,12.14743709564209,-0.42020943760871887,207.56365966796875
6943.794921875,34.95252990722656,-51861.52734375,-110.73443603515625,14.38597583770752,-0.6357178092002869,211.08758544921875
6830.28369140625,50.790706634521484,-51862.09375,-111.96286010742188,16.647829055786133,-0.45553848147392273,214.33297729492188
6721.15673828125,67.94062042236328,-51862.63671875,-112.93345642089844,18.690967559814453,-0.6385869979858398,217.01341247558594
6604.5703125,88.18939971923828,-51863.21875,-113.78623962402344,20.670650482177734,-0.4233132004737854,219.4551544189453
6491.49267578125,109.5572280883789,-51863.70703125,-114.46101379394531,22.383115768432617,-0.5524067282676697,221.45314025878906
6378.54296875,132.41175842285156,-51864.16796875,-114.98897552490234,23.997331619262695,-0.3383146822452545,223.12498474121094
6263.822265625,156.9018096923828,-51864.62890625,-115.59166717529297,24.56053352355957,-0.5963081121444702,224.53065490722656
6144.36328125,180.1432342529297,-51865.4453125,-117.36636352539062,20.742809295654297,-1.042325735092163,225.8888397216797
6031.3369140625,198.24412536621094,-51866.6875,-119.19853210449219,17.158523559570312,-1.536929965019226,227.53179931640625
5909.84619140625,213.5899200439453,-51868.41796875,-121.30673217773438,13.254446983337402,-1.8313970565795898,229.83663940429688
5784.7236328125,225.05369567871094,-51870.32421875,-123.62217712402344,9.2078218460083,-1.865797519683838,232.7887725830078
5661.27001953125,232.3386688232422,-51872.11328125,-125.98592376708984,5.936927795410156,-1.7201039791107178,236.2490997314453
5530.41845703125,237.6101531982422,-51873.71484375,-128.50086975097656,4.464122772216797,-1.3670806884765625,240.37889099121094
5407.4296875,241.5811004638672,-51874.7890625,-130.79139709472656,4.107294082641602,-0.8838230967521667,244.55551147460938
5272.44970703125,245.9285125732422,-51875.390625,-133.1488037109375,4.408299446105957,-0.30478543043136597,249.13356018066406
5142.19091796875,250.29937744140625,-51875.4375,-135.29904174804688,4.558482646942139,0.19093087315559387,253.3727264404297
4997.4150390625,255.18551635742188,-51874.9921875,-137.5963897705078,4.635107040405273,0.619653582572937,257.83978271484375
4859.46044921875,259.835693359375,-51874.23046875,-139.71417236328125,4.714998245239258,0.8892415165901184,261.9095764160156
